,Site Name,counts,latitude,longitude
103,Hunter Army Airfield/TCE Plume,5,32.01444,-81.14417
104,Trane Technologies Co.- Sylvania (fka Ingersoll/Torrington/Timken)),5,32.75806,-81.61917
105,Henkel Site,5,34.01528,-85.26611
106,GA Dept of Trans - Dist 4 Main HQ (Former),5,31.51778,-82.85333
107,General Electric Company,5,34.28139,-85.22333
108,Rummel Fibre Company,5,34.24306,-85.13333
109,Bonnell Aluminum,5,33.38194,-84.81667
110,Central of GA RR/Bernuth-Lembcke Site,5,32.09528,-81.10917
111,Atlas Chemical Company,5,33.09611,-82.02306
112,Akzo Coatings (Former),5,31.77056,-82.32917
113,Paulding County - Gulledge Road MSWL,4,34.02,-84.80083
114,W.F. Taylor Co. Inc.,4,34.68861,-84.98944
115,Rose City Cleaners (Former),4,30.83889,-83.98278
116,"Rice Iron and Metals, Inc. (Former)",4,30.81889,-83.30528
117,Westside Cleaners (former),4,33.935,-84.55667
118,CSX Transportation - Middleton Derailment,4,34.09778,-82.76861
119,"U.S. Naval Submarine Base, Kings Bay",4,30.81194,-81.57028
120,Amoco Fabrics & Fibers - Hazlehurst Mills,4,31.86444,-82.59111
121,Union Timber,4,31.02972,-82.76639
122,A&D Barrel & Drum Company,4,33.77361,-84.40833
123,McCranie Brothers Wood Preserving,4,31.33694,-83.04194
124,Moultrie Wood Preserving Company,4,31.18139,-83.77194
125,Oil Processing Corp (Former),4,33.18917,-82.39417
126,Griffith Oil Company,4,34.06111,-83.54722
127,Southern States Landfill,4,33.82583,-84.46528
128,Rabun Apparel (formerly Rabun Mills),4,34.95444,-83.37917
129,"CPI Plastics, L.L.C.",4,33.34306,-84.79361
130,"Loef Company, Inc. (The)",4,33.98167,-83.3425
131,Screven County Municipal Solid Waste Landfill,4,32.74444,-81.68361
132,Dougherty Co. - Fleming Rd. MSW Landfill,4,31.53278,-84.02833
133,"Colquitt Co. - CR 15, Sunset, Phase I MSWLF",4,31.09111,-83.84528
134,"Washington County Landfill-Kaolin Road, Site #2",4,32.95583,-82.83528
135,Bleckley County Municipal Landfill,4,32.42139,-83.30944
136,Ocilla - SR 32 East MSWL,4,31.59694,-83.14
137,Del Cook Lumber Company,4,31.12806,-83.42833
138,Carroll County / Carrollton SR 166 LF,4,33.55111,-85.15361
139,Columbia County - Baker Place Road MSWLF,4,33.48917,-82.22889
140,Wayne County - Goose Creek Phase 1 MSWLF,4,31.66444,-81.91556
141,Wilkinson Co. - Hwy. 57 Public Works Camp MSWLF,4,32.83333,-83.26417
142,Candler County S.R. 121 Metter # 021-001D(SL),4,32.45556,-82.06472
143,Effingham County - SR 17 MSWLF,4,32.30611,-81.40361
144,Sugar Hill - Appling Road MSWLF,4,34.12083,-84.03778
145,National Smelting and Refining,4,33.79278,-84.40194
146,"O'Neill Manufacturing, Inc.",4,34.26944,-85.15556
147,Unitog Company Facility (Former),4,33.755,-84.55083
148,Lanier County-Studstill Road MSWLF,4,31.06694,-83.07806
149,Lanier Plaza Shopping Center,4,31.15917,-81.47917
150,Mitchell County - SR 3A MSWLF,3,31.16861,-84.16917
151,Whitfield Co./Dalton-Old Dixie Hwy Phase 2 4 & 5 MSWLF,3,34.65139,-84.95028
152,Turner County - SR 112 Ashburn Phase 3 MSWLF,3,31.73583,-83.575
153,Crawford County - SR 341 / Hopewell Road MSWLF,3,32.77389,-83.99944
154,Cairo - 6th Avenue (SL) MSWLF,3,30.88194,-84.22833
155,Atlantic Cotton Mills,3,32.84194,-83.65694
156,"Daniel Measurement and Control, Inc.",3,32.48722,-81.72889
157,Walton County Landfill,3,33.835,-83.75
158,"Pennington Seed, Inc. Warehouse (Former)",3,32.21083,-82.39
159,Lowe's Home Improvement Warehouse,3,33.55083,-84.41389
160,Rolling Hills Landfill,3,33.61556,-84.41639
161,Richmond County - Dean's Bridge Road,3,33.35,-82.13694
162,Worth County SR 112 MSWL,3,31.55306,-83.7925
163,Walker County Marble Top Road MSWL,3,34.83528,-85.365
164,Schley County CR 65 MSWL,3,32.24806,-84.23056
165,Lincoln County - CR 121/Prater Landfill,3,33.8225,-82.46333
166,Guardian Automotive Corporation (dba SRG Global Covington),3,33.61278,-83.835
167,U.S. Army - Fort Gillem - Southeast Burial Site,3,33.61806,-84.31806
168,Turner Air Force Base (Former),3,31.58917,-84.08472
169,American Linen Supply Company (former),3,33.86611,-83.41389
170,Marzone/Chevron - NPL Site OU1,3,31.43028,-83.5025
171,Firestone Tire & Rubber Co. (Albany Plant)-NPL Site,3,31.56833,-84.05611
172,Woolfolk Chemical Works - NPL Site,3,32.55083,-83.88444
173,Merck & Company,3,31.49722,-84.1325
174,PPG Industries (former),3,32.46139,-83.76444
175,Scripto Plant & Office Complex (Former),3,33.75833,-84.37306
176,Monroe Auto Equipment Company (Tenneco),3,34.35389,-82.94306
177,Button Gwinnett Landfill,3,33.92333,-84.04639
178,T Street Dump,3,31.16556,-81.50833
179,"Polychem, LTD",3,34.84361,-84.98028
180,Atlanta Gas Light Company - Griffin MGP Site,3,33.24389,-84.26833
181,Morgan County Municipal Solid Waste Landfill,3,33.63194,-83.45306
182,"McKenzie Tank Lines, Inc.",3,32.13778,-81.15278
183,Stephenson Chemical Company,3,33.62917,-84.46917
184,"GIW Industries, Inc.",3,33.45694,-82.18806
185,Burke County Landfill,3,33.08,-81.96528
186,Chattooga County - Penn Bridge Rd Ph 1 (SL) MSWL,3,34.50583,-85.29639
