,Site Name,counts,latitude,longitude
102,Haralson County Landfill (US 78 Bremen),2,33.69917,-85.22944
103,Hart County Landfill,2,34.31389,-82.93917
104,West Asbury Road Phase II MSWL,2,33.43222,-84.17028
105,Lamar County - Grove Street Extension MSWLF,2,33.08583,-84.20833
106,Mitchell County - SR 3A MSWLF,2,31.16861,-84.16917
107,Newton County - Lower River Road MSWL,2,33.55139,-83.89528
108,"Upson County - Zorn Street Phase 2, 3 MSWLF",2,32.86361,-84.32444
109,Alternate Energy Resources - NPL Site,2,33.45417,-82.03722
110,Buford - McEver Road MSWLF,2,34.12833,-84.01639
111,Cairo - 6th Avenue (SL) MSWLF,2,30.88194,-84.22833
112,Sumter County Landfill,2,32.06528,-84.27778
113,Unitog Company Facility (Former),2,33.755,-84.55083
114,Walton County Landfill,2,33.835,-83.75
115,Hightower Road  MSW Landfill - Phase 2,1,34.32972,-84.25639
116,Madison County Sanitary Landfill 2&3 (SL),1,34.09833,-83.20361
117,Screven County Municipal Solid Waste Landfill,1,32.74444,-81.68361
118,Clayton Co. SR3- Lovejoy Site #2 MSWL,1,33.43861,-84.30667
119,"Hunter Army Airfield, Fire Training Area",1,32.01444,-81.14417
120,"McKenzie Tank Lines, Inc.",1,32.13778,-81.15278
121,ARAMARK Uniform Services,1,30.84889,-83.99167
122,Rental Uniform Service of Griffin,1,33.22528,-84.27917
123,Dougherty Co. - Fleming Rd. MSW Landfill,1,31.53278,-84.02833
124,Spalding County - Yamacraw Road MSWL,1,33.2575,-84.15944
125,Griffin - Shoal Creek Road Landfill,1,33.25278,-84.37583
126,"Colquitt Co. - CR 15, Sunset, Phase I MSWLF",1,31.09111,-83.84528
127,Chattooga County - Penn Bridge Rd Ph 1 (SL) MSWL,1,34.50583,-85.29639
128,Barnesville-Goggins Road MSWL,1,33.06583,-84.13778
129,"Ware County-US 82, Waresboro MSWL",1,31.27111,-82.46972
130,Vopak Terminal Savannah,1,32.11667,-81.13333
131,Bleckley County Municipal Landfill,1,32.42139,-83.30944
132,Calhoun - Harris Rd. Phase 4 (L),1,34.49167,-84.99361
133,"Jackson County - SR 82 North, Phase II MSWL",1,34.145,-83.55056
134,Ruby Quarry Asphalt Plant Site,1,32.92361,-83.49556
135,5998  Fairburn Road - Dry Cleaners,1,33.75083,-84.72944
136,Transco Railcar Facility (Former),1,32.82611,-83.6275
137,Station at Vinings (The),1,33.86556,-84.46972
138,"Star Laundry, Inc. (Fabracare)",1,32.5525,-83.88778
139,Circle K Store #5259,1,33.96472,-84.41472
140,Hunter Army Airfield - MCA Barracks,1,32.02556,-81.13722
141,American Amalgamated/Executive Dry Cleaners,1,33.90694,-84.10861
142,Roswell Station,1,34.00528,-84.39056
143,"United Technologies Automotive, Inc.",1,33.45028,-82.53889
144,Georgia Air National Guard/Savannah/Site 8,1,32.12972,-81.18583
145,"Southern Motors of Savannah, Inc.",1,31.98972,-81.12972
146,Cherokee Shopping Center,1,33.44,-82.02389
147,Liberty Oil and Refining,1,31.13139,-83.705
148,"Tronox/Kerr McGee Pigments, Inc. (Former)",1,32.08222,-81.02583
149,Quitman - SR 333 Landfill,1,30.75194,-83.5475
150,Camden County Vacuna Road LF,1,30.78111,-81.69
151,Carroll County / Carrollton SR 166 LF,1,33.55111,-85.15361
152,Dawson County Shoal Hole Road MSWL,1,34.43861,-84.11972
153,Blakely - Howell Street / Pit Road MSWLF,1,31.40056,-84.92889
154,Emanuel Co. - SR 297 Swainsboro (SL),1,32.51639,-82.33278
155,Franklin County - Harrison Bridge Road MSWLF,1,34.34194,-83.22806
156,Gilmer County SR 52 - Tower Road MSWLF,1,34.71389,-84.49056
157,Glynn Co. - Cate Road C&D MSWLF,1,31.25861,-81.52444
158,Jefferson County - US 1 (Avera Rd) MSWLF,1,33.03083,-82.40944
159,Lee County - SR 32 MSWLF,1,31.73306,-84.12028
160,Liberty County - Limerick Road MSWLF,1,31.84278,-81.39611
161,McIntosh County - King Road MSWLF,1,31.51333,-81.4825
162,Murray County - US 411 Westside MSWLF,1,34.68056,-84.73056
163,Pickens Co.  - Jones Mountain Road Westside MSWLF,1,34.54167,-84.47528
164,Pierce County - SR 121 MSWLF,1,31.34917,-82.2125
165,Terrell County - U. S. 82 MSWLF,1,31.74139,-84.41944
166,Tifton - Omega / Eldorado Road MSWLF,1,31.3575,-83.53667
167,Towns County - SR 288 MSWLF,1,34.92722,-83.74639
168,Wayne County - Goose Creek Phase 1 MSWLF,1,31.66444,-81.91556
169,Whitfield Co./Dalton-Old Dixie Hwy Phase 2 4 & 5 MSWLF,1,34.65139,-84.95028
170,Wilkinson Co. - Hwy. 57 Public Works Camp MSWLF,1,32.83333,-83.26417
171,"Specialty Stampings, L.L.C.",1,31.14194,-83.42778
172,Union County MSW Landfill,1,34.89333,-83.95972
173,Effingham County - SR 17 MSWLF,1,32.30611,-81.40361
174,Durand MSW Landfill,1,32.96583,-84.78056
175,Sugar Hill - Appling Road MSWLF,1,34.12083,-84.03778
176,Crawford County - SR 341 / Hopewell Road MSWLF,1,32.77389,-83.99944
177,Alma - Radio Station Road MSWLF,1,31.52028,-82.43472
178,Johnson County - SR 15 Wrightsville Ph 2 (SL) MSWLF,1,32.68194,-82.71
179,One-Hour Cleanerizing (assoc. with Peach Orchard NPL),1,33.42389,-82.01889
180,Chem-Am,1,33.06,-84.97194
181,GA DOT Jesup District Office Complex,1,31.595,-81.86778
182,Lanier County-Studstill Road MSWLF,1,31.06694,-83.07806
183,Jeff Davis - CR 20 MSWLF,1,31.86056,-82.68694
184,Huntridge Shopping Center,1,33.98667,-84.35139
185,Manchester Tank Company,1,34.01194,-85.27694
186,Lanier Plaza Shopping Center,1,31.15917,-81.47917
187,MENA Rockmart Facility,1,34.01389,-85.06389
188,Southside Cleaners,1,31.97361,-81.13306
189,Richmond County - Dean's Bridge Road,1,33.35,-82.13694
190,Worth County SR 112 MSWL,1,31.55306,-83.7925
191,Harris County Hamilton Road E MSWL,1,32.74444,-84.81278
192,"Coastal Concrete, Inc.",1,32.08194,-81.12778
193,Hock's One Hour Martinizing/Embassy Cleaners,1,33.92694,-84.49194
194,W.F. Taylor Co. Inc.,1,34.68861,-84.98944
195,JNV Investments Group (f.k.a Professional Cleaners),1,33.76278,-84.19528
196,Lincoln County - CR 121/Prater Landfill,1,33.8225,-82.46333
197,"Best Manufacturing Company,Armuchee Div",1,34.36417,-85.16917
198,Spears Mattress Company,1,34.23861,-85.17361
199,Carriage Cleaners (Former),1,33.85361,-84.38222
200,"DOT Sales and Supplies, Inc.",1,33.66722,-84.03944
201,One Hour Martinizing Cleaners (Former),1,33.92389,-84.57278
202,"Rice Iron and Metals, Inc. (Former)",1,30.81889,-83.30528
203,Guardian Automotive Corporation (dba SRG Global Covington),1,33.61278,-83.835
204,Westside Cleaners (former),1,33.935,-84.55667
205,Pike County - County Farm Road MSWL,1,33.12111,-84.36472
206,Ideal Cleaners,1,33.03944,-85.02778
207,Brown and Brown Wrecker Service,1,33.89833,-84.285
208,East Coast Asphalt,1,31.22333,-82.36861
209,Noble Cleaners (Former),1,33.97028,-84.53444
210,Milliken & Company,1,34.54639,-83.40139
211,U.S. Army - Fort Gillem - Southeast Burial Site,1,33.61806,-84.31806
212,New Heritage Cleaners (Former),1,33.94333,-83.99306
213,Shaver's Farm,1,34.79889,-85.3075
214,Langdale Forest Products Corporation,1,30.81722,-83.27667
215,Trane Technologies Co.- Sylvania (fka Ingersoll/Torrington/Timken)),1,32.75806,-81.61917
216,Blackman Uhler Chemical Company,1,33.45083,-81.97917
217,Powersville Landfill - Former NPL Site,1,32.61,-83.79333
218,Henkel Site,1,34.01528,-85.26611
219,TH Agriculture & Nutrition Company - NPL Site,1,31.61722,-84.18167
220,Escambia Treating Company - Brunswick (aka Brunswick Wood NPL Site),1,31.2425,-81.53167
221,Turner Air Force Base (Former),1,31.58917,-84.08472
222,General Electric Company,1,34.28139,-85.22333
223,Marzone/Chevron - NPL Site OU1,1,31.43028,-83.5025
224,General Tire - Aldora Plant,1,33.05306,-84.17694
225,Merck & Company,1,31.49722,-84.1325
226,Rummel Fibre Company,1,34.24306,-85.13333
227,"1610 Southland Circle (fka ""Indcon"")",1,33.80167,-84.43333
228,PPG Industries (former),1,32.46139,-83.76444
229,Travis Field/Savannah International Airport,1,32.11611,-81.19056
230,"U.S. Naval Submarine Base, Kings Bay",1,30.81194,-81.57028
231,Monroe Auto Equipment Company (Tenneco),1,34.35389,-82.94306
232,Southern States,1,33.38583,-84.29
233,So Green Waste Pile,1,31.44222,-83.51056
234,Signal Energy Holdings (Former Young Refining ),1,33.76306,-84.73111
235,Ashland Chemical Company,1,32.08139,-81.13722
236,Macon Naval Ordnance Landfill (Former) - NPL Site,1,32.76917,-83.64694
237,"A.I.D. Company, Div. of Roller Bearing Co. of America.",1,34.87722,-83.38667
238,Akzo Coatings (Former),1,31.77056,-82.32917
239,Oil Processing Corp (Former),1,33.18917,-82.39417
240,Lyndal Chemical (aka Chemical Processing of Georgia),1,34.79556,-84.96556
241,Griffith Oil Company,1,34.06111,-83.54722
242,Cheatham Road Landfill (Phase 2 Cobb County),1,34.01389,-84.73667
243,Speedway SR 324 Landfill,1,33.96889,-83.77333
244,Southern States Landfill,1,33.82583,-84.46528
