,Site Name,counts,latitude,longitude
106,"Hercules, Inc.",2,32.08806,-81.14778
107,Vantran Electric,2,32.99139,-82.38556
108,Southside Cleaners,2,31.97361,-81.13306
109,Estech General Chemicals Albany,2,31.59806,-84.15417
110,Coastal Plains Treating Company,1,31.43,-83.50389
111,"Tronox/Kerr McGee Pigments, Inc. (Former)",1,32.08222,-81.02583
112,Alternate Energy Resources - NPL Site,1,33.45417,-82.03722
113,"Specialty Stampings, L.L.C.",1,31.14194,-83.42778
114,Busby  Cleaners,1,31.85194,-81.6
115,One-Hour Cleanerizing (assoc. with Peach Orchard NPL),1,33.42389,-82.01889
116,GA DOT Jesup District Office Complex,1,31.595,-81.86778
117,"Polymer Specialties, Inc.",1,34.98111,-85.435
118,"B & M Wood Products, Inc.",1,31.12694,-82.58306
119,Lowe's Home Improvement Warehouse,1,33.55083,-84.41389
120,Jack's Cleaners,1,34.04056,-84.4775
121,Rose City Cleaners (Former),1,30.83889,-83.98278
122,Hunter Army Airfield/TCE Plume,1,32.01444,-81.14417
123,Glynco Naval Air Station (Cotton Court Property),1,31.25194,-81.45222
124,Avalon Plant,1,34.50694,-83.21889
125,"Rice Iron and Metals, Inc. (Former)",1,30.81889,-83.30528
126,US Cleaners,1,34.06833,-84.52056
127,Milliken & Company,1,34.54639,-83.40139
128,Bradley Circle Properties/Bradley Circle Landfill (Former),1,32.48944,-84.99278
129,Shaver's Farm,1,34.79889,-85.3075
130,U.S. Army - Fort Gillem - North Landfill Area,1,33.62917,-84.33333
131,Henkel Site,1,34.01528,-85.26611
132,Turner Air Force Base (Former),1,31.58917,-84.08472
133,Southwire - Wire & Cable Division,1,33.55861,-85.0675
134,Rockbridge Square Shopping Center,1,33.84139,-84.1325
135,Merck & Company,1,31.49722,-84.1325
136,Rummel Fibre Company,1,34.24306,-85.13333
137,Phibro-Tech (fka C P Chemicals),1,33.85306,-84.65056
138,Monroe Auto Equipment Company (Tenneco),1,34.35389,-82.94306
139,York Casket Hardware (fka Piedmont Metals),1,33.96472,-84.00028
140,Union Timber,1,31.02972,-82.76639
141,Signal Energy Holdings (Former Young Refining ),1,33.76306,-84.73111
142,A&D Barrel & Drum Company,1,33.77361,-84.40833
143,Old City Landfill,1,31.89667,-82.58833
144,T Street Dump,1,31.16556,-81.50833
145,"Loef Company, Inc. (The)",1,33.98167,-83.3425
146,Tift Site,1,33.66694,-84.42583
147,Stephenson Chemical Company,1,33.62917,-84.46917
148,Vulcan Performance Chemicals (Former),1,33.81917,-84.50167
149,ARAMARK Uniform Services,1,30.84889,-83.99167
150,Rental Uniform Service of Griffin,1,33.22528,-84.27917
151,"Baychem, Inc.",1,34.04028,-84.61417
152,Circle K Store #5259,1,33.96472,-84.41472
153,Hunter Army Airfield - MCA Barracks,1,32.02556,-81.13722
154,"United Technologies Automotive, Inc.",1,33.45028,-82.53889
155,Louisiana Pacific Corp. - Statesboro,1,32.41972,-81.80417
156,"STSE, Inc.",1,31.17472,-81.49111
157,CSXT Depriest Signal Shop,1,32.06833,-81.085
