,Site Name,counts,latitude,longitude
0,Paper Mill Road Undeveloped Tract,1,33.9525,-83.96278
1,Brockway Standard - Homerville Plant,1,31.02917,-82.77361
2,"1610 Southland Circle (fka ""Indcon"")",1,33.80167,-84.43333
3,Ashland Chemical Company,1,33.905,-84.24278
4,S&M Scrap Metal Company,1,31.44611,-83.48917
5,"Hunter Army Airfield, Fire Training Area",1,32.01444,-81.14417
6,One-Hour Cleanerizing (assoc. with Peach Orchard NPL),1,33.42389,-82.01889
7,"Amrep, Inc. - Marietta",1,33.97583,-84.53944
